produk,jumlah_terjual,penjualan_rp,kategori,tanggal
"PAKET AYAM BAKAR MADU + ES 326 BAG 777 PAKET Produk 35,746.00 16.00%",326000.0,750666000.0,Paket Ayam,2025-11-03
"PAKET AYAM BAKAR MADU PAB BAG 777 AYAM Produk 17,095.00 8.00%",777000.0,307710000.0,Paket Ayam,2025-11-03
"PAKET IKAN LELE BAKAR MADU 62 BAG 777 IKAN LELE Produk 15,239.00 7.00%",62000.0,213346000.0,Paket Ikan Lele,2025-11-03
"PAKET AYAM GORENG GEPREK 327 BAG 777 PAKET Produk 12,584.00 6.00%",327000.0,264264000.0,Paket Ayam,2025-11-03
"PAKET IKAN NILA BAKAR MADU 51 BAG 777 IKAN NILA Produk 12,341.00 6.00%",51000.0,197456000.0,Paket Ikan Nila,2025-11-03
"ES TEH MANIS 236 BAG 777 MINUMAN Produk 7,854.00 4.00%",236000.0,31416000.0,Minuman,2025-11-03
"CAH KANGKUNG 213 BAG 777 SAYURAN Produk 6,304.00 3.00%",213000.0,50432000.0,Lainnya,2025-11-03
"PRIMA 208 BAG 777 MINUMAN Produk 5,899.00 3.00%",208000.0,29495000.0,Lainnya,2025-11-03
"PAKET AYAM GORENG GEPREK 31 BAG 777 AYAM Produk 5,614.00 3.00%",31000.0,101052000.0,Paket Ayam,2025-11-03
"ES JERUK 233 BAG 777 MINUMAN Produk 5,493.00 2.00%",233000.0,32958000.0,Minuman,2025-11-03
"ES AIR PUTIH 239 BAG 777 MINUMAN Produk 5,396.00 2.00%",239000.0,10792000.0,Minuman,2025-11-03
"PAKET LELE GORENG LL01 BAG 777 IKAN LELE Produk 4,934.00 2.00%",777000.0,69076000.0,Ikan Lele,2025-11-03
"PAKET BEBEK BAKAR MADU + 325 BAG 777 PAKET Produk 4,419.00 2.00%",325000.0,132570000.0,Paket Bebek,2025-11-03
"AYAM BAKAR MADU 48 BAG 777 AYAM Produk 4,362.00 2.00%",48000.0,65430000.0,Ayam Bakar,2025-11-03
"NASI PUTIH 170 BAG 777 LAIN LAIN Produk 4,320.00 2.00%",170000.0,12960000.0,Nasi,2025-11-03
"PAKET 6 + PLB + Es Teh Manis 9 BAG 777 PAKET Produk 4,133.00 2.00%",6000.0,57862000.0,Minuman,2025-11-03
"PAKET 5 + PNB + Es Teh Manis 7 BAG 777 PAKET Produk 3,084.00 1.00%",5000.0,49344000.0,Minuman,2025-11-03
"KOL GORENG 171 BAG 777 LAIN LAIN Produk 2,907.00 1.00%",171000.0,11628000.0,Lainnya,2025-11-03
"NASI GORENG TELOR 106 BAG 777 NASI Produk 2,566.00 1.00%",106000.0,30792000.0,Nasi,2025-11-03
"KERUPUK 204 BAG 777 LAIN LAIN Produk 2,419.00 1.00%",204000.0,9676000.0,Lainnya,2025-11-03
"JAMUR CRISPY 155 BAG 777 SNACK Produk 2,310.00 1.00%",155000.0,23100000.0,Lainnya,2025-11-03
"PAKET BEBEK GORENG 324 BAG 777 PAKET Produk 1,992.00 1.00%",324000.0,59760000.0,Paket Bebek,2025-11-03
"NASI GORENG SPESIAL 110 BAG 777 NASI Produk 1,853.00 1.00%",110000.0,29648000.0,Nasi,2025-11-03
"CAPPUCINO 221 BAG 777 MINUMAN Produk 1,601.00 1.00%",221000.0,11207000.0,Lainnya,2025-11-03
"TAUGE 151 BAG 777 SAYURAN Produk 1,597.00 1.00%",151000.0,12776000.0,Lainnya,2025-11-03
"PAKET BEBEK BAKAR MADU 11 BAG 777 BEBEK Produk 1,517.00 1.00%",11000.0,40959000.0,Paket Bebek,2025-11-03
"PAKET 6 + PLG + Es Teh Manis 8 BAG 777 PAKET Produk 1,380.00 1.00%",6000.0,19320000.0,Minuman,2025-11-03
"EMPING 205 BAG 777 LAIN LAIN Produk 1,271.00 1.00%",205000.0,6928000.0,Lainnya,2025-11-03
"KACANG 169 BAG 777 LAIN LAIN Produk 1,252.00 1.00%",169000.0,2504000.0,Lainnya,2025-11-03
"PAKET SOTO AYAM 145 BAG 777 SOTO & Produk 1,241.00 1.00%",145000.0,19856000.0,Lainnya,2025-11-03
"PAKET IKAN NILA GORENG 50 BAG 777 IKAN NILA Produk 1,164.00 1.00%",50000.0,18624000.0,Paket Ikan Nila,2025-11-03
"CAPCAY AYAM 153 BAG 777 SAYURAN Produk 1,152.00 1.00%",153000.0,14976000.0,Lainnya,2025-11-03
"JUS ALPUKAT 230 BAG 777 MINUMAN Produk 1,108.00 1.00%",230000.0,11080000.0,Minuman,2025-11-03
"MIE TUMIS GORENG TELOR 115 BAG 777 MIE TUMIS Produk 1,090.00 0.00%",115000.0,13080000.0,Mie,2025-11-03
"NASI GORENG AYAM 109 BAG 777 NASI Produk 1,074.00 0.00%",109000.0,16110000.0,Nasi,2025-11-03
"AIR PUTIH HANGAT 318 BAG 777 MINUMAN Produk 1,054.00 0.00%",318000.0,1054000.0,Lainnya,2025-11-03
"ADES 600ML 263 BAG 777 MENU Produk 1,028.00 0.00%",263000.0,5140000.0,Minuman,2025-11-03
KWETIAU GORENG TELOR 135 BAG 777 KWETIAU Produk 995.00 0.00%,135000.0,13930000.0,Mie,2025-11-03
TELOR DADAR 166 BAG 777 LAIN LAIN Produk 961.00 0.00%,166000.0,4805000.0,Lainnya,2025-11-03
PAKET AYAM MERCON. KDJUW BAG 777 AYAM Produk 930.00 0.00%,777000.0,19530000.0,Paket Ayam,2025-11-03
JERUK HANGAT 234 BAG 777 MINUMAN Produk 914.00 0.00%,234000.0,5484000.0,Lainnya,2025-11-03
PAKET CUMI ASAM MANIS 94 BAG 777 CUMI CUMI Produk 895.00 0.00%,94000.0,16110000.0,Paket Seafood,2025-11-03
PAKET BEBEK GORENG 10 BAG 777 BEBEK Produk 884.00 0.00%,10000.0,23868000.0,Paket Bebek,2025-11-03
PAKET CUMI CUMI SAOS 88 BAG 777 CUMI CUMI Produk 881.00 0.00%,88000.0,15858000.0,Paket Seafood,2025-11-03
SAMBAL 1.000 206 BAG 777 LAIN LAIN Produk 838.00 0.00%,206000.0,838000.0,Lainnya,2025-11-03
NASI GORENG SOSIS 108 BAG 777 NASI Produk 816.00 0.00%,108000.0,10608000.0,Nasi,2025-11-03
PAKET UDANG SAOS PADANG 96 BAG 777 UDANG Produk 785.00 0.00%,96000.0,15700000.0,Paket Seafood,2025-11-03
TAHU 173 BAG 777 LAIN LAIN Produk 761.00 0.00%,173000.0,4566000.0,Lainnya,2025-11-03
ES SUSU 235 BAG 777 MINUMAN Produk 736.00 0.00%,235000.0,3680000.0,Minuman,2025-11-03
NASI GORENG REMPELA HATI 107 BAG 777 NASI Produk 677.00 0.00%,107000.0,8801000.0,Nasi,2025-11-03
PAKET CUMI CUMI CRISPY 86 BAG 777 CUMI CUMI Produk 644.00 0.00%,86000.0,11592000.0,Paket Seafood,2025-11-03
NASI GORENG BAKSO 8736 BAG 777 NASI Produk 616.00 0.00%,777000.0,8008000.0,Nasi,2025-11-03
IKAN NILA BAKAR MADU NLBKR BAG 777 IKAN NILA Produk 593.00 0.00%,777000.0,7709000.0,Ikan Nila,2025-11-03
ES Susu Teh 456 BAG 777 MINUMAN Produk 591.00 0.00%,456000.0,2955000.0,Minuman,2025-11-03
PAKET CAPCAY AYAM 3L2KJLK BAG 777 SAYURAN Produk 561.00 0.00%,777000.0,8976000.0,Lainnya,2025-11-03
IKAN LELE BAKAR MADU 763 BAG 777 IKAN LELE Produk 556.00 0.00%,763000.0,6116000.0,Ikan Lele,2025-11-03
JUS MANGGA 229 BAG 777 MINUMAN Produk 551.00 0.00%,229000.0,5510000.0,Minuman,2025-11-03
CAPCAY GORENG / KUAH 154 BAG 777 SAYURAN Produk 545.00 0.00%,154000.0,9265000.0,Lainnya,2025-11-03
TEH MANIS HANGAT 237 BAG 777 MINUMAN Produk 543.00 0.00%,237000.0,2172000.0,Minuman,2025-11-03
BEBEK BAKAR MADU 29 BAG 777 BEBEK Produk 530.00 0.00%,29000.0,12720000.0,Bebek,2025-11-03
REMPELA HATI 172 BAG 777 LAIN LAIN Produk 524.00 0.00%,172000.0,3144000.0,Lainnya,2025-11-03
PAKET UDANG SAOS ASAM 773 BAG 777 UDANG Produk 514.00 0.00%,773000.0,10280000.0,Paket Seafood,2025-11-03
Paket Telor Dadar 165 BAG 777 LAIN LAIN Produk 469.00 0.00%,165000.0,5159000.0,Lainnya,2025-11-03
PAKET AYAM ASAM MANIS 32 BAG 777 AYAM Produk 445.00 0.00%,32000.0,9345000.0,Paket Ayam,2025-11-03
PAKET NILA ASAM MANIS 61 BAG 777 IKAN NILA Produk 420.00 0.00%,61000.0,7560000.0,Ikan Nila,2025-11-03
NASI GORENG AYAM BAKAR 112 BAG 777 NASI Produk 407.00 0.00%,112000.0,9768000.0,Ayam Bakar,2025-11-03
KWETIAU GORENG SPESIAL 139 BAG 777 KWETIAU Produk 400.00 0.00%,139000.0,7600000.0,Minuman,2025-11-03
PAKET UDANG GORENG CRISPY 100 BAG 777 UDANG Produk 400.00 0.00%,100000.0,8000000.0,Paket Seafood,2025-11-03
SOTO AYAM 310 BAG 777 SOTO & Produk 392.00 0.00%,310000.0,5096000.0,Lainnya,2025-11-03
PAKET CAH KANGKUNG 149 BAG 777 SAYURAN Produk 387.00 0.00%,149000.0,4644000.0,Lainnya,2025-11-03
AYAM GORENG GEPREK 42 BAG 777 AYAM Produk 383.00 0.00%,42000.0,5745000.0,Ayam Goreng,2025-11-03
FRESTEA P 500ML 256 BAG 777 MENU Produk 376.00 0.00%,256000.0,3008000.0,Minuman,2025-11-03
KWETIAW GORENG/KUAH KWTW01 BAG 777 KWETIAU Produk 359.00 0.00%,777000.0,5744000.0,Mie,2025-11-03
ES TEH TAWAR 238 BAG 777 MINUMAN Produk 356.00 0.00%,238000.0,1068000.0,Minuman,2025-11-03
PAKET CUMI CUMI SAOS TIRAM 89 BAG 777 CUMI CUMI Produk 345.00 0.00%,89000.0,6210000.0,Paket Seafood,2025-11-03
NASI GORENG TERI IU98LK BAG 777 NASI Produk 328.00 0.00%,777000.0,4920000.0,Nasi,2025-11-03
PAKET AYAM SAOS PADANG 34 BAG 777 AYAM Produk 319.00 0.00%,34000.0,6699000.0,Paket Ayam,2025-11-03
PAKET 5 + PNG + Es Teh Manis 6 BAG 777 PAKET Produk 317.00 0.00%,5000.0,5072000.0,Minuman,2025-11-03
MIE TUMIS GORENG BAKSO 117 BAG 777 MIE TUMIS Produk 316.00 0.00%,117000.0,4108000.0,Mie,2025-11-03
TEMPE GORENG 174 BAG 777 LAIN LAIN Produk 293.00 0.00%,174000.0,1758000.0,Lainnya,2025-11-03
JUS BUAH NAGA 228 BAG 777 MINUMAN Produk 287.00 0.00%,228000.0,2870000.0,Minuman,2025-11-03
MIE TUMIS GORENG SPESIAL 119 BAG 777 MIE TUMIS Produk 282.00 0.00%,119000.0,4512000.0,Minuman,2025-11-03
TEH TAWAR HANGAT 570 BAG 777 MINUMAN Produk 256.00 0.00%,570000.0,768000.0,Minuman,2025-11-03
PAKET JAMUR CRISPY 312 BAG 777 SAYURAN Produk 254.00 0.00%,312000.0,3810000.0,Lainnya,2025-11-03
PAKET AYAM SAOS KECAP PARR BAG 777 AYAM Produk 250.00 0.00%,777000.0,5250000.0,Paket Ayam,2025-11-03
CAH KANGKUNG SEAFOOD 150 BAG 777 SAYURAN Produk 234.00 0.00%,150000.0,3510000.0,Lainnya,2025-11-03
KWETIAU GORENG AYAM 138 BAG 777 KWETIAU Produk 224.00 0.00%,138000.0,4032000.0,Mie,2025-11-03
TAHU SAOS PADANG 313 BAG 777 LAIN LAIN Produk 218.00 0.00%,313000.0,2398000.0,Lainnya,2025-11-03
MIE TUMIS GORENG REMPELA 116 BAG 777 MIE TUMIS Produk 216.00 0.00%,116000.0,2808000.0,Mie,2025-11-03
IKAN LELE GORENG 69 BAG 777 IKAN LELE Produk 202.00 0.00%,69000.0,2222000.0,Ikan Lele,2025-11-03
Es Kosong 500 BAG 777 MINUMAN Produk 202.00 0.00%,500000.0,202000.0,Minuman,2025-11-03
MINUTE MAID NUTRIBOOST 261 BAG 777 MENU Produk 201.00 0.00%,261000.0,1809000.0,Lainnya,2025-11-03
MILKSHAKE THAI TEA 177 BAG 777 MILKSHAKE Produk 197.00 0.00%,177000.0,1970000.0,Lainnya,2025-11-03
PAKEK CAPCAY SEAFOOD JDKAJ2 BAG 777 SAYURAN Produk 181.00 0.00%,777000.0,3620000.0,Lainnya,2025-11-03
PAKET IKAN NILA SAOS 54 BAG 777 IKAN NILA Produk 178.00 0.00%,54000.0,3204000.0,Paket Ikan Nila,2025-11-03
TAHU/TEMPE 315 BAG 777 LAIN LAIN Produk 176.00 0.00%,315000.0,1056000.0,Lainnya,2025-11-03
CUMI CUMI GORENG CRISPY 95 BAG 777 CUMI CUMI Produk 174.00 0.00%,95000.0,2610000.0,Seafood,2025-11-03
KWETIAU GORENG SOSIS 137 BAG 777 KWETIAU Produk 172.00 0.00%,137000.0,2752000.0,Mie,2025-11-03
MIE GORENG AYAM 118 BAG 777 MIE TUMIS Produk 163.00 0.00%,118000.0,2445000.0,Mie,2025-11-03
PAKET REMPELA HATI 160 BAG 777 LAIN LAIN Produk 157.00 0.00%,160000.0,1884000.0,Lainnya,2025-11-03
MIE GORENG SOSIS 201 BAG 777 MIE TUMIS Produk 153.00 0.00%,201000.0,1989000.0,Mie,2025-11-03
PAKET UDANG SAOS TIRAM 8930 BAG 777 UDANG Produk 145.00 0.00%,777000.0,2900000.0,Paket Seafood,2025-11-03
MILKSHAKE COCO OREO 175 BAG 777 MILKSHAKE Produk 144.00 0.00%,175000.0,1440000.0,Lainnya,2025-11-03
BEBEK GORENG GEPREK 267 BAG 777 BEBEK Produk 143.00 0.00%,267000.0,3432000.0,Bebek,2025-11-03
MILKSHAKE GREEN TEA 189 BAG 777 MILKSHAKE Produk 139.00 0.00%,189000.0,1390000.0,Lainnya,2025-11-03
CUMI CUMI SAOS PADANG 93 BAG 777 CUMI CUMI Produk 123.00 0.00%,93000.0,1845000.0,Seafood,2025-11-03
MIE TUMIS KUAH TELOR 120 BAG 777 MIE TUMIS Produk 121.00 0.00%,120000.0,1452000.0,Mie,2025-11-03
CUMI CUMI SAOS ASAM MANIS 91 BAG 777 CUMI CUMI Produk 121.00 0.00%,91000.0,1815000.0,Seafood,2025-11-03
NASI GORENG AYAM GORENG 111 BAG 777 NASI Produk 118.00 0.00%,111000.0,2832000.0,Ayam Goreng,2025-11-03
PAKET CAK TAUGE 152 BAG 777 SAYURAN Produk 116.00 0.00%,152000.0,1392000.0,Lainnya,2025-11-03
MINUTE MAID PULPY PLASTIK 259 BAG 777 MENU Produk 113.00 0.00%,259000.0,904000.0,Lainnya,2025-11-03
NASI PUTIH - BUNGKUS 214 BAG 777 LAIN LAIN Produk 112.00 0.00%,214000.0,560000.0,Nasi,2025-11-03
UDANG SAOS PADANG 103 BAG 777 UDANG Produk 111.00 0.00%,103000.0,1887000.0,Seafood,2025-11-03
KWETIAU G REMPELA HATI 136 BAG 777 KWETIAU Produk 111.00 0.00%,136000.0,1776000.0,Mie,2025-11-03
MILKSHAKE VANILA BLUE 182 BAG 777 MILKSHAKE Produk 108.00 0.00%,182000.0,1080000.0,Lainnya,2025-11-03
KWETIAU KUAH TELOR 140 BAG 777 KWETIAU Produk 105.00 0.00%,140000.0,1470000.0,Mie,2025-11-03
COCA COLA P 390 ML 243 BAG 777 MENU Produk 104.00 0.00%,390000.0,728000.0,Lainnya,2025-11-03
MILKSHAKE RED VELVET 187 BAG 777 MILKSHAKE Produk 99.00 0.00%,187000.0,990000.0,Lainnya,2025-11-03
UDANG SAOS ASAM MANIS 101 BAG 777 UDANG Produk 96.00 0.00%,101000.0,1632000.0,Seafood,2025-11-03
MILKSHAKE VANILA 181 BAG 777 MILKSHAKE Produk 96.00 0.00%,181000.0,960000.0,Lainnya,2025-11-03
MILKSHAKE CHOCO ALMOND 185 BAG 777 MILKSHAKE Produk 91.00 0.00%,185000.0,910000.0,Lainnya,2025-11-03
